task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_distribution,316,396,60,0.5050505050505051,0.5552168367346939,0.5225850383152496,0.27645287471833513
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_distribution,316,396,60,0.5050505050505051,0.5563010204081633,0.5806629783849824,0.24870824505899128
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_temporal,316,396,120,0.5050505050505051,0.6406760204081632,0.6092396276299983,0.27172528014719205
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_temporal,316,396,120,0.5050505050505051,0.5451530612244898,0.543289742232006,0.25017543324527153
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_temporal_coupling,316,396,129,0.5050505050505051,0.6375127551020408,0.5946392216183508,0.27595367126059367
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_temporal_coupling,316,396,129,0.5050505050505051,0.541734693877551,0.5551516906334628,0.24924950410843405
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_temporal_shuffle,316,396,120,0.5050505050505051,0.5047576530612244,0.5137559155704787,0.319738680762134
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_temporal_shuffle,316,396,120,0.5050505050505051,0.4809948979591836,0.5058767121859118,0.2549108364769325
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_temporal_reverse,316,396,120,0.5050505050505051,0.6235331632653062,0.5918429640996661,0.2850840041717354
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_temporal_reverse,316,396,120,0.5050505050505051,0.5345408163265306,0.5579245539030283,0.24997263205991954
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_shape,316,396,160,0.5050505050505051,0.6445790816326531,0.6113901348857298,0.2728176234516091
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_shape,316,396,160,0.5050505050505051,0.5844897959183674,0.582038808582089,0.24502403227692757
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_shape_coupling,316,396,169,0.5050505050505051,0.6342219387755103,0.6020446533952305,0.28073895388159076
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_shape_coupling,316,396,169,0.5050505050505051,0.5468367346938776,0.5597485083650265,0.24899466086736738
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_shuffle,316,396,160,0.5050505050505051,0.5177423469387755,0.5169015061299218,0.3305934820631127
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_shuffle,316,396,160,0.5050505050505051,0.5179336734693878,0.5377421460412543,0.2515504789107035
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_reverse,316,396,160,0.5050505050505051,0.6332525510204081,0.5983972981522646,0.2815805422880283
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_reverse,316,396,160,0.5050505050505051,0.5645918367346939,0.5675122120608983,0.24706215695627565
pain_high_4_plus,silver_pain,group_subject_cv,logistic,quality_only,316,396,12,0.5050505050505051,0.4477551020408163,0.46528776382181425,0.2604834895586101
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,quality_only,316,396,12,0.5050505050505051,0.47482142857142856,0.489188377762499,0.25119023929654866
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base,408,510,45,0.35294117647058826,0.9497979797979799,0.913221726368029,0.08791694846467406
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base,408,510,45,0.35294117647058826,0.972037037037037,0.9582704975109078,0.08052508530012656
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_distribution,408,510,135,0.35294117647058826,0.9758080808080808,0.9576839009113648,0.06087192204845167
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_distribution,408,510,135,0.35294117647058826,0.9853367003367004,0.9761735916220499,0.06270523333781439
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_temporal,408,510,270,0.35294117647058826,0.9866835016835016,0.9776290567511386,0.04510160444671433
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_temporal,408,510,270,0.35294117647058826,0.9883333333333333,0.9791759061097557,0.06359104440689486
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_temporal_coupling,408,510,288,0.35294117647058826,0.9857912457912458,0.9755586312733664,0.04597688158806287
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_temporal_coupling,408,510,288,0.35294117647058826,0.9872222222222222,0.9771852212516707,0.06537988751588485
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_temporal_shuffle,408,510,270,0.35294117647058826,0.9469865319865319,0.917993875513875,0.09053140050472656
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_temporal_shuffle,408,510,270,0.35294117647058826,0.9793602693602694,0.9670715899419635,0.09011579766402582
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_temporal_reverse,408,510,270,0.35294117647058826,0.9884848484848485,0.9792703840733785,0.04231125518825933
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_temporal_reverse,408,510,270,0.35294117647058826,0.9878451178451179,0.9785386384403516,0.06423481962669654
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_shape,408,510,360,0.35294117647058826,0.9891582491582491,0.9820996735623292,0.038873678036949216
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_shape,408,510,360,0.35294117647058826,0.992996632996633,0.9865937757062888,0.05345386328322934
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_shape_coupling,408,510,378,0.35294117647058826,0.9883670033670033,0.9802797092509505,0.0408975564829721
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_shape_coupling,408,510,378,0.35294117647058826,0.9940572390572391,0.9886268146632221,0.052244183532378294
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_shuffle,408,510,360,0.35294117647058826,0.9715151515151516,0.9538317834074265,0.06526091043669373
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_shuffle,408,510,360,0.35294117647058826,0.9860942760942761,0.9775877854224294,0.06889399810117318
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,base_reverse,408,510,360,0.35294117647058826,0.9900673400673401,0.9829275263776666,0.03967168712175745
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,base_reverse,408,510,360,0.35294117647058826,0.9924579124579125,0.9857382951335856,0.05368205052192412
stress_vs_exercise,induced_stress_exercise,group_subject_cv,logistic,quality_only,408,510,20,0.35294117647058826,0.6376262626262625,0.4301320551950957,0.24566817813611502
stress_vs_exercise,induced_stress_exercise,group_subject_cv,extra_trees,quality_only,408,510,20,0.35294117647058826,0.6598148148148149,0.4430193059856576,0.23053307156636624
wesad_stress,wesad,group_subject_cv,logistic,base,360,450,45,0.5,0.6897382716049383,0.6724586734303106,0.23991661426796093
wesad_stress,wesad,group_subject_cv,extra_trees,base,360,450,45,0.5,0.7378370370370371,0.7193332816328819,0.21052039992409508
wesad_stress,wesad,group_subject_cv,logistic,base_distribution,360,450,135,0.5,0.6813432098765432,0.6859272030504152,0.262144030397653
wesad_stress,wesad,group_subject_cv,extra_trees,base_distribution,360,450,135,0.5,0.7176493827160495,0.7208673568132828,0.21688963262169156
wesad_stress,wesad,group_subject_cv,logistic,base_temporal,360,450,270,0.5,0.691595061728395,0.6877202236697215,0.2833700184919089
wesad_stress,wesad,group_subject_cv,extra_trees,base_temporal,360,450,270,0.5,0.7312592592592593,0.6795189455196934,0.21513378057380075
wesad_stress,wesad,group_subject_cv,logistic,base_temporal_coupling,360,450,288,0.5,0.6699851851851851,0.6662702774150913,0.29912905181299454
wesad_stress,wesad,group_subject_cv,extra_trees,base_temporal_coupling,360,450,288,0.5,0.7314765432098765,0.681688637291666,0.2155285673168125
wesad_stress,wesad,group_subject_cv,logistic,base_temporal_shuffle,360,450,270,0.5,0.6501333333333335,0.6452274340713836,0.3217364735108991
wesad_stress,wesad,group_subject_cv,extra_trees,base_temporal_shuffle,360,450,270,0.5,0.7252345679012346,0.6931756530235129,0.2166691844492148
wesad_stress,wesad,group_subject_cv,logistic,base_temporal_reverse,360,450,270,0.5,0.6584691358024691,0.6543697754500123,0.30641286876230056
wesad_stress,wesad,group_subject_cv,extra_trees,base_temporal_reverse,360,450,270,0.5,0.7347555555555555,0.6835928785754797,0.21471886150984315
wesad_stress,wesad,group_subject_cv,logistic,base_shape,360,450,360,0.5,0.6931555555555555,0.6880620738017217,0.28713496876873534
wesad_stress,wesad,group_subject_cv,extra_trees,base_shape,360,450,360,0.5,0.7412345679012345,0.704147303267971,0.21083324650001248
wesad_stress,wesad,group_subject_cv,logistic,base_shape_coupling,360,450,378,0.5,0.6802765432098765,0.676640016156642,0.30061834540414195
wesad_stress,wesad,group_subject_cv,extra_trees,base_shape_coupling,360,450,378,0.5,0.7456,0.6984162479399254,0.20974650909304368
wesad_stress,wesad,group_subject_cv,logistic,base_shuffle,360,450,360,0.5,0.6473679012345679,0.6515717550593335,0.331200572881173
wesad_stress,wesad,group_subject_cv,extra_trees,base_shuffle,360,450,360,0.5,0.749372839506173,0.7345039691147662,0.20632152374566007
wesad_stress,wesad,group_subject_cv,logistic,base_reverse,360,450,360,0.5,0.6670814814814815,0.664963069579674,0.30399866169503514
wesad_stress,wesad,group_subject_cv,extra_trees,base_reverse,360,450,360,0.5,0.7319506172839506,0.6850348983250475,0.21326861914282552
wesad_stress,wesad,group_subject_cv,logistic,quality_only,360,450,20,0.5,0.5749827160493827,0.5577536253214721,0.2466207943878184
wesad_stress,wesad,group_subject_cv,extra_trees,quality_only,360,450,20,0.5,0.5040296296296296,0.5458773178353408,0.2648773576608618
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base,1596,400,15,0.69,0.45237260402057033,0.690591298220172,0.26671965233372474
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_distribution,1596,400,45,0.69,0.487260402057036,0.7156266229584647,0.28002574756853
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_temporal,1596,400,90,0.69,0.4114071996259935,0.6285571249218778,0.3168259003638655
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_temporal_coupling,1596,400,96,0.69,0.38768115942028986,0.6117133064808651,0.3221913245213183
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_temporal_shuffle,1596,400,90,0.69,0.49170172978027116,0.7096223973350175,0.2871797562749251
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_shape,1596,400,120,0.69,0.4472007947639084,0.646365004930158,0.31435269572801877
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_shape_coupling,1596,400,126,0.69,0.4222767648433848,0.6278952415697485,0.319734296508977
pain_high_4_plus,painmonit,leave_dataset_out,logistic,base_shuffle,1596,400,120,0.69,0.5169179523141655,0.7231737497969011,0.29044976904036246
pain_high_4_plus,painmonit,leave_dataset_out,logistic,quality_only,1596,400,10,0.69,0.5,0.69,0.2728795917638693
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base,1596,400,15,0.2025,0.5960756995239753,0.29130345700538063,0.30360134915727205
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_distribution,1596,400,45,0.2025,0.31990402105344634,0.15075176059549028,0.35980246033112423
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_temporal,1596,400,90,0.2025,0.17342002399473663,0.12635024299849446,0.4911684942515079
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_temporal_coupling,1596,400,96,0.2025,0.190138937265374,0.12849678222345223,0.489064574591638
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_temporal_shuffle,1596,400,90,0.2025,0.17105925151902163,0.12659313306582254,0.38487242991959425
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_shape,1596,400,120,0.2025,0.1813150663725376,0.12638714365458026,0.49330877389089617
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_shape_coupling,1596,400,126,0.2025,0.20887031231858819,0.1291285812756476,0.4913851071101379
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,base_shuffle,1596,400,120,0.2025,0.1652927744881768,0.13121010032372266,0.4239633720827719
pain_high_4_plus,painmonit_pmed,leave_dataset_out,logistic,quality_only,1596,400,10,0.2025,0.12902976121366927,0.11759051670363918,0.4816019807975367
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base,1596,400,15,0.475,0.46416040100250633,0.4527146395801594,0.27185517929105457
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_distribution,1596,400,45,0.475,0.45010025062656644,0.44022494413822444,0.29905928464185555
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_temporal,1596,400,90,0.475,0.4574185463659147,0.4530752372278638,0.3378498721888802
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_temporal_coupling,1596,400,96,0.475,0.44844611528822054,0.44919436934640056,0.34041239971634013
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_temporal_shuffle,1596,400,90,0.475,0.47541353383458645,0.45379933422201313,0.29326995832008174
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_shape,1596,400,120,0.475,0.46340852130325816,0.4556833846466984,0.34162679734767515
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_shape_coupling,1596,400,126,0.475,0.45270676691729317,0.45163793059975127,0.3449444618967612
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,base_shuffle,1596,400,120,0.475,0.4651378446115288,0.44835950841940064,0.3120484360954356
pain_high_4_plus,physiopain_watch,leave_dataset_out,logistic,quality_only,1596,400,10,0.475,0.5,0.475,0.33613541250167883
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base,1596,400,15,0.0875,0.4270058708414873,0.07206551927267449,0.27998970679554364
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_distribution,1596,400,45,0.0875,0.4338160469667319,0.07338143594579766,0.3196440828128283
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_temporal,1596,400,90,0.0875,0.5058317025440313,0.08392693412079105,0.34157229277003154
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_temporal_coupling,1596,400,96,0.0875,0.504187866927593,0.08349842243707876,0.3392986033888608
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_temporal_shuffle,1596,400,90,0.0875,0.5033268101761252,0.08213649308696935,0.3116636213360492
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_shape,1596,400,120,0.0875,0.535812133072407,0.08994617672526992,0.32984380933670676
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_shape_coupling,1596,400,126,0.0875,0.53573385518591,0.0900669949802059,0.32843398021154685
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,base_shuffle,1596,400,120,0.0875,0.5184344422700586,0.08404585612353219,0.33683438430002693
pain_high_4_plus,rheumapain,leave_dataset_out,logistic,quality_only,1596,400,10,0.0875,0.5643444227005872,0.10127610373555469,0.25217124924987333
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base,1600,396,15,0.5050505050505051,0.5944642857142857,0.5959567451693147,0.250732031524456
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_distribution,1600,396,45,0.5050505050505051,0.5385331632653061,0.5283896275727427,0.25439605848086266
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_temporal,1600,396,90,0.5050505050505051,0.4684566326530612,0.4869895510896217,0.3009208594558185
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_temporal_coupling,1600,396,96,0.5050505050505051,0.47093112244897956,0.49075056093982194,0.3019534149615261
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_temporal_shuffle,1600,396,90,0.5050505050505051,0.5530229591836735,0.5563079406075648,0.266345833488465
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_shape,1600,396,120,0.5050505050505051,0.48014030612244896,0.4879308332273781,0.30611787618553155
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_shape_coupling,1600,396,126,0.5050505050505051,0.4799107142857143,0.4884885060931965,0.30700810190526795
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,base_shuffle,1600,396,120,0.5050505050505051,0.5672831632653061,0.5482591265460146,0.2719737949201424
pain_high_4_plus,silver_pain,leave_dataset_out,logistic,quality_only,1600,396,10,0.5050505050505051,0.4797959183673469,0.4975346327846658,0.2807829563566802
pain_high_4_plus,pooled,group_subject_cv,logistic,dataset_only,1996,1996,5,0.39178356713426854,0.7372196496964232,0.5892412295790281,0.20216983810489664
